ID interactor A	ID interactor B	Alt. ID interactor A	Alt. ID interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)	Processing Status	
DIP-89N|refseq:NP_005372|uniprotkb:P19338	DIP-27569N|refseq:NP_001427|uniprotkb:P22087	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)	-	pubmed:18292223|pubmed:DIP-4718S|pubmed:18292223|pubmed:DIP-4718S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-59249E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-29748N|refseq:NP_006412|uniprotkb:Q9Y6D6	DIP-29749N|uniprotkb:P37198	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)	-	pubmed:18292223|pubmed:DIP-4718S|pubmed:18292223|pubmed:DIP-4718S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-59250E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-29748N|refseq:NP_006412|uniprotkb:Q9Y6D6	DIP-27569N|refseq:NP_001427|uniprotkb:P22087	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)	-	pubmed:18292223|pubmed:DIP-4718S|pubmed:18292223|pubmed:DIP-4718S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-59251E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-29774N|refseq:NP_000123|uniprotkb:P00451	DIP-29774N|refseq:NP_000123|uniprotkb:P00451	-	-	-	-	MI:0114(x-ray crystallography)	-	pubmed:18400180|pubmed:DIP-4730S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)	MI:0465(dip)	DIP-59261E	dip-quality-status:core	dip:0002(small scale)		-
DIP-952N|refseq:NP_004371|uniprotkb:Q92793	DIP-29782N	 -	-	-	-	MI:0077(nuclear magnetic resonance)	-	pubmed:18400184|pubmed:DIP-4733S	taxid:9606(Homo sapiens)	taxid:-2(chemical synthesis)	MI:0407(direct interaction)	MI:0465(dip)	DIP-59266E	dip-quality-status:core	dip:0002(small scale)		-
DIP-29786N	DIP-952N|refseq:NP_004371|uniprotkb:Q92793	 -	-	-	-	MI:0077(nuclear magnetic resonance)	-	pubmed:18400184|pubmed:DIP-4733S	taxid:-2(chemical synthesis)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)	MI:0465(dip)	DIP-59267E	dip-quality-status:core	dip:0002(small scale)		-
DIP-29785N	DIP-952N|refseq:NP_004371|uniprotkb:Q92793	 -	-	-	-	MI:0077(nuclear magnetic resonance)|MI:0053(fluorescence polarization spectroscopy)	-	pubmed:18400184|pubmed:DIP-4733S|pubmed:18400184|pubmed:DIP-4733S	taxid:-2(chemical synthesis)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-59268E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-29778N|refseq:NP_003875|uniprotkb:Q92831	DIP-29779N	 -	-	-	-	MI:0077(nuclear magnetic resonance)	-	pubmed:18400184|pubmed:DIP-4733S	taxid:9606(Homo sapiens)	taxid:-2(chemical synthesis)	MI:0407(direct interaction)	MI:0465(dip)	DIP-59269E	dip-quality-status:core	dip:0002(small scale)		-
DIP-29778N|refseq:NP_003875|uniprotkb:Q92831	DIP-29786N	 -	-	-	-	MI:0077(nuclear magnetic resonance)	-	pubmed:18400184|pubmed:DIP-4733S	taxid:9606(Homo sapiens)	taxid:-2(chemical synthesis)	MI:0407(direct interaction)	MI:0465(dip)	DIP-59270E	dip-quality-status:core	dip:0002(small scale)		-
DIP-29604N	DIP-29778N|refseq:NP_003875|uniprotkb:Q92831	 -	-	-	-	MI:0077(nuclear magnetic resonance)	-	pubmed:18400184|pubmed:DIP-4733S	taxid:-2(chemical synthesis)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)	MI:0465(dip)	DIP-59271E	dip-quality-status:core	dip:0002(small scale)		-
DIP-29778N|refseq:NP_003875|uniprotkb:Q92831	DIP-29787N	 -	-	-	-	MI:0077(nuclear magnetic resonance)	-	pubmed:18400184|pubmed:DIP-4733S	taxid:9606(Homo sapiens)	taxid:-2(chemical synthesis)	MI:0407(direct interaction)	MI:0465(dip)	DIP-59272E	dip-quality-status:core	dip:0002(small scale)		-
DIP-29780N	DIP-29778N|refseq:NP_003875|uniprotkb:Q92831	 -	-	-	-	MI:0077(nuclear magnetic resonance)	-	pubmed:18400184|pubmed:DIP-4733S	taxid:-2(chemical synthesis)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)	MI:0465(dip)	DIP-59273E	dip-quality-status:core	dip:0002(small scale)		-
DIP-29781N	DIP-29778N|refseq:NP_003875|uniprotkb:Q92831	 -	-	-	-	MI:0077(nuclear magnetic resonance)	-	pubmed:18400184|pubmed:DIP-4733S	taxid:-2(chemical synthesis)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)	MI:0465(dip)	DIP-59274E	dip-quality-status:core	dip:0002(small scale)		-
DIP-29778N|refseq:NP_003875|uniprotkb:Q92831	DIP-29783N	 -	-	-	-	MI:0077(nuclear magnetic resonance)	-	pubmed:18400184|pubmed:DIP-4733S	taxid:9606(Homo sapiens)	taxid:-2(chemical synthesis)	MI:0407(direct interaction)	MI:0465(dip)	DIP-59275E	dip-quality-status:core	dip:0002(small scale)		-
DIP-29784N	DIP-29778N|refseq:NP_003875|uniprotkb:Q92831	 -	-	-	-	MI:0053(fluorescence polarization spectroscopy)	-	pubmed:18400184|pubmed:DIP-4733S	taxid:-2(chemical synthesis)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)	MI:0465(dip)	DIP-59276E	dip-quality-status:core	dip:0002(small scale)		-
DIP-27630N|uniprotkb:Q13469	DIP-27630N|uniprotkb:Q13469	-	-	-	-	MI:0413(electrophoretic mobility shift assay)|MI:0114(x-ray crystallography)	-	pubmed:19060202|pubmed:DIP-12628S|pubmed:18462673|pubmed:DIP-4734S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0407(direct interaction)	MI:0465(dip)	DIP-59277E	dip-quality-status:core	dip:0004(small scale)|dip:0002(small scale)		-
DIP-29800N	DIP-27528N|uniprotkb:Q9Y6K9	 -	-	-	-	MI:0028(cosedimentation in solution)|MI:0071(molecular sieving)|MI:0055(fluorescent resonance energy transfer)|MI:0077(nuclear magnetic resonance)|MI:0114(x-ray crystallography)|MI:0104(static light scattering)	-	pubmed:18462684|pubmed:DIP-4740S|pubmed:18462684|pubmed:DIP-4740S|pubmed:18462684|pubmed:DIP-4740S|pubmed:18462684|pubmed:DIP-4740S|pubmed:18462684|pubmed:DIP-4740S|pubmed:18462684|pubmed:DIP-4740S	taxid:-2(chemical synthesis)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-59285E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-27528N|uniprotkb:Q9Y6K9	DIP-27528N|uniprotkb:Q9Y6K9	-	-	-	-	MI:0104(static light scattering)|MI:0071(molecular sieving)|MI:0028(cosedimentation in solution)	-	pubmed:18462684|pubmed:DIP-4740S|pubmed:18462684|pubmed:DIP-4740S|pubmed:18462684|pubmed:DIP-4740S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-59286E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-29801N	DIP-27528N|uniprotkb:Q9Y6K9	 -	-	-	-	MI:0055(fluorescent resonance energy transfer)	-	pubmed:18462684|pubmed:DIP-4740S	taxid:-2(chemical synthesis)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)	MI:0465(dip)	DIP-59287E	dip-quality-status:core	dip:0002(small scale)		-
DIP-27528N|uniprotkb:Q9Y6K9	DIP-29802N	 -	-	-	-	MI:0055(fluorescent resonance energy transfer)	-	pubmed:18462684|pubmed:DIP-4740S	taxid:9606(Homo sapiens)	taxid:-2(chemical synthesis)	MI:0407(direct interaction)	MI:0465(dip)	DIP-59288E	dip-quality-status:core	dip:0002(small scale)		-
DIP-29803N|refseq:NP_002769|uniprotkb:P07602	DIP-29803N|refseq:NP_002769|uniprotkb:P07602	-	-	-	-	MI:0071(molecular sieving)|MI:0114(x-ray crystallography)|MI:0071(molecular sieving)|MI:0028(cosedimentation in solution)|MI:0114(x-ray crystallography)	-	pubmed:18462685|pubmed:DIP-11394S|pubmed:18462685|pubmed:DIP-11394S|pubmed:18462685|pubmed:DIP-11394S|pubmed:18462685|pubmed:DIP-11394S|pubmed:18462685|pubmed:DIP-11394S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-59289E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-29811N|uniprotkb:O88522	DIP-24261N|uniprotkb:P62988	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0096(pull down)|MI:0096(pull down)|MI:0096(pull down)	-	pubmed:18216269|pubmed:DIP-4744S|pubmed:18216269|pubmed:DIP-4744S|pubmed:18216269|pubmed:DIP-4744S|pubmed:18216269|pubmed:DIP-4744S	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0407(direct interaction)	MI:0465(dip)	DIP-59295E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-29711N|refseq:NP_116027|uniprotkb:P23769	DIP-24184N|refseq:NP_004955|uniprotkb:Q13547	 -	-	-	-	MI:0096(pull down)	-	pubmed:18250304|pubmed:DIP-4745S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)	MI:0465(dip)	DIP-59300E	dip-quality-status:core	dip:0002(small scale)		-
DIP-953N|refseq:NP_003111|uniprotkb:P17947	DIP-29711N|refseq:NP_116027|uniprotkb:P23769	 -	-	-	-	MI:0096(pull down)|MI:0096(pull down)|MI:0006(anti bait coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:18250304|pubmed:DIP-4745S|pubmed:18250304|pubmed:DIP-4745S|pubmed:18250304|pubmed:DIP-4745S|pubmed:18250304|pubmed:DIP-4745S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0407(direct interaction)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-59301E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-29711N|refseq:NP_116027|uniprotkb:P23769	DIP-952N|refseq:NP_004371|uniprotkb:Q92793	 -	-	-	-	MI:0096(pull down)	-	pubmed:18250304|pubmed:DIP-4745S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)	MI:0465(dip)	DIP-59302E	dip-quality-status:core	dip:0002(small scale)		-
DIP-29816N|refseq:NP_066245|uniprotkb:A9QPL8	DIP-24261N|uniprotkb:P62988	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:18305167|pubmed:DIP-4746S	taxid:186538(Zaire ebolavirus)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-59303E	dip-quality-status:core	dip:0002(small scale)		-
DIP-29814N|refseq:NP_005092|uniprotkb:P05161	DIP-29815N|uniprotkb:P46934	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:18305167|pubmed:DIP-4746S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-59304E	dip-quality-status:core	dip:0002(small scale)		-
DIP-24261N|uniprotkb:P62988	DIP-1098N|uniprotkb:P12004	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0808(comigration in sds page)|MI:0808(comigration in sds page)|MI:0006(anti bait coimmunoprecipitation)	-	pubmed:18316726|pubmed:DIP-4750S|pubmed:18719106|pubmed:DIP-11617S|pubmed:18316726|pubmed:DIP-4750S|pubmed:18719106|pubmed:DIP-11617S|pubmed:18316726|pubmed:DIP-4750S|pubmed:18719106|pubmed:DIP-11617S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0195(covalent binding)|MI:0195(covalent binding)|MI:0915(physical association)	MI:0465(dip)	DIP-59316E	dip-quality-status:core	dip:0002(small scale)|dip:0004(small scale)|dip:0002(small scale)|dip:0004(small scale)|dip:0002(small scale)|dip:0004(small scale)		-
DIP-29843N|uniprotkb:Q92841	DIP-29842N|refseq:NP_766633|uniprotkb:Q8K3Y6	 -	-	-	-	MI:0096(pull down)|MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0096(pull down)	-	pubmed:18334637|pubmed:DIP-4757S|pubmed:18334637|pubmed:DIP-4757S|pubmed:18334637|pubmed:DIP-4757S|pubmed:18334637|pubmed:DIP-4757S|pubmed:18334637|pubmed:DIP-4757S	taxid:9606(Homo sapiens)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0407(direct interaction)	MI:0465(dip)	DIP-59326E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-29844N|refseq:NP_004387|uniprotkb:P17844	DIP-29842N|refseq:NP_766633|uniprotkb:Q8K3Y6	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:18334637|pubmed:DIP-4757S	taxid:9606(Homo sapiens)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)	MI:0465(dip)	DIP-59327E	dip-quality-status:core	dip:0002(small scale)		-
DIP-29843N|uniprotkb:Q92841	DIP-29845N|refseq:NP_003398|uniprotkb:P26651	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:18334637|pubmed:DIP-4757S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-59328E	dip-quality-status:core	dip:0002(small scale)		-
DIP-29847N|uniprotkb:Q9NQT5	DIP-29843N|uniprotkb:Q92841	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)	-	pubmed:18334637|pubmed:DIP-4757S|pubmed:18334637|pubmed:DIP-4757S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-59330E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-29847N|uniprotkb:Q9NQT5	DIP-29842N|refseq:NP_766633|uniprotkb:Q8K3Y6	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)	-	pubmed:18334637|pubmed:DIP-4757S|pubmed:18334637|pubmed:DIP-4757S	taxid:9606(Homo sapiens)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-59331E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-29846N|refseq:NP_064543|uniprotkb:Q9NQT4	DIP-29843N|uniprotkb:Q92841	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:18334637|pubmed:DIP-4757S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-59332E	dip-quality-status:core	dip:0002(small scale)		-
DIP-29846N|refseq:NP_064543|uniprotkb:Q9NQT4	DIP-29842N|refseq:NP_766633|uniprotkb:Q8K3Y6	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:18334637|pubmed:DIP-4757S	taxid:9606(Homo sapiens)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)	MI:0465(dip)	DIP-59333E	dip-quality-status:core	dip:0002(small scale)		-
DIP-29650N|refseq:NP_005226|uniprotkb:Q15303	DIP-24261N|uniprotkb:P62988	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)	-	pubmed:18334649|pubmed:DIP-4759S|pubmed:18334649|pubmed:DIP-4759S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-59335E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-29849N|refseq:NP_113671|uniprotkb:Q96J02	DIP-29650N|refseq:NP_005226|uniprotkb:Q15303	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0096(pull down)|MI:0006(anti bait coimmunoprecipitation)	-	pubmed:18334649|pubmed:DIP-4759S|pubmed:18334649|pubmed:DIP-4759S|pubmed:18334649|pubmed:DIP-4759S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-59336E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-24261N|uniprotkb:P62988	DIP-29850N|refseq:NP_001036064|uniprotkb:Q15303	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:18334649|pubmed:DIP-4759S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-59337E	dip-quality-status:core	dip:0002(small scale)		-
DIP-24261N|uniprotkb:P62988	DIP-6094N|uniprotkb:Q15303	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:18334649|pubmed:DIP-4759S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-59338E	dip-quality-status:core	dip:0002(small scale)		-
DIP-29850N|refseq:NP_001036064|uniprotkb:Q15303	DIP-29849N|refseq:NP_113671|uniprotkb:Q96J02	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:18334649|pubmed:DIP-4759S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-59339E	dip-quality-status:core	dip:0002(small scale)		-
DIP-29855N	DIP-29853N|uniprotkb:Q12906	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)	-	pubmed:18337511|pubmed:DIP-4761S|pubmed:18337511|pubmed:DIP-4761S	taxid:11276(Vesicular stomatitis virus)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-59343E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-1399N|refseq:NP_009573|uniprotkb:P38217	DIP-29336N|uniprotkb:P52272	 -	-	-	-	MI:0096(pull down)	-	pubmed:18532879|pubmed:DIP-4762S	taxid:4932(Saccharomyces cerevisiae)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)	MI:0465(dip)	DIP-59345E	dip-quality-status:core	dip:0002(small scale)		-
DIP-29857N|refseq:NP_004951|uniprotkb:P35637	DIP-1399N|refseq:NP_009573|uniprotkb:P38217	 -	-	-	-	MI:0096(pull down)	-	pubmed:18532879|pubmed:DIP-4762S	taxid:9606(Homo sapiens)	taxid:4932(Saccharomyces cerevisiae)	MI:0407(direct interaction)	MI:0465(dip)	DIP-59346E	dip-quality-status:core	dip:0002(small scale)		-
DIP-1371N|refseq:NP_014518|uniprotkb:Q99383	DIP-29335N|refseq:NP_694858|uniprotkb:Q92973	 -	-	-	-	MI:0096(pull down)	-	pubmed:18532879|pubmed:DIP-4762S	taxid:4932(Saccharomyces cerevisiae)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)	MI:0465(dip)	DIP-59347E	dip-quality-status:core	dip:0002(small scale)		-
DIP-1331N|refseq:NP_011393|uniprotkb:P32505	DIP-29335N|refseq:NP_694858|uniprotkb:Q92973	 -	-	-	-	MI:0096(pull down)	-	pubmed:18532879|pubmed:DIP-4762S	taxid:4932(Saccharomyces cerevisiae)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)	MI:0465(dip)	DIP-59348E	dip-quality-status:core	dip:0002(small scale)		-
DIP-29860N|uniprotkb:Q8WUI4	DIP-29861N|refseq:NP_006133|uniprotkb:P31947	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:18339811|pubmed:DIP-4764S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-59359E	dip-quality-status:core	dip:0002(small scale)		-
DIP-6115N|refseq:NP_000497|uniprotkb:P00734	DIP-29869N|refseq:NP_000615|uniprotkb:P05154	 -	-	-	-	MI:0114(x-ray crystallography)	-	pubmed:18362344|pubmed:DIP-4769S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)	MI:0465(dip)	DIP-59366E	dip-quality-status:core	dip:0002(small scale)		-
DIP-29871N|refseq:NP_052803|uniprotkb:P15917	DIP-265N|refseq:NP_057535|uniprotkb:P53618	 -	-	-	-	MI:0096(pull down)	-	pubmed:18356299|pubmed:DIP-4771S	taxid:1392(Bacillus anthracis)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-59368E	dip-quality-status:core	dip:0002(small scale)		-
DIP-29873N|refseq:NP_057141|uniprotkb:P61923	DIP-29871N|refseq:NP_052803|uniprotkb:P15917	 -	-	-	-	MI:0096(pull down)	-	pubmed:18356299|pubmed:DIP-4771S	taxid:9606(Homo sapiens)	taxid:1392(Bacillus anthracis)	MI:0915(physical association)	MI:0465(dip)	DIP-59369E	dip-quality-status:core	dip:0002(small scale)		-
DIP-232N|uniprotkb:Q07812	DIP-24261N|uniprotkb:P62988	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:18362350|pubmed:DIP-11447S|pubmed:18362350|pubmed:DIP-11447S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-59372E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-29310N|uniprotkb:P55265	DIP-29875N|refseq:NP_002902|uniprotkb:Q92900	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)|MI:0030(cross-linking study)|MI:0006(anti bait coimmunoprecipitation)	-	pubmed:18362360|pubmed:DIP-4774S|pubmed:18362360|pubmed:DIP-4774S|pubmed:18362360|pubmed:DIP-4774S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-59373E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-29876N|refseq:NP_002986|uniprotkb:P47992	DIP-29876N|refseq:NP_002986|uniprotkb:P47992	-	-	-	-	MI:0077(nuclear magnetic resonance)	-	pubmed:18364395|pubmed:DIP-4775S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)	MI:0465(dip)	DIP-59374E	dip-quality-status:core	dip:0002(small scale)		-
DIP-29882N|refseq:NP_005083|uniprotkb:Q9UNG2	DIP-29882N|refseq:NP_005083|uniprotkb:Q9UNG2	-	-	-	-	MI:0071(molecular sieving)|MI:0028(cosedimentation in solution)|MI:0808(comigration in sds page)|MI:0071(molecular sieving)|MI:0030(cross-linking study)|MI:0114(x-ray crystallography)|MI:0114(x-ray crystallography)	-	pubmed:18378892|pubmed:DIP-4778S|pubmed:18040044|pubmed:DIP-4823S|pubmed:18378892|pubmed:DIP-4778S|pubmed:18040044|pubmed:DIP-4823S|pubmed:18378892|pubmed:DIP-4778S|pubmed:18378892|pubmed:DIP-4778S|pubmed:18040044|pubmed:DIP-4823S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-59379E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-29883N|uniprotkb:Q9Y5U5	DIP-29883N|uniprotkb:Q9Y5U5	-	-	-	-	MI:0030(cross-linking study)	-	pubmed:18378892|pubmed:DIP-4778S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)	MI:0465(dip)	DIP-59380E	dip-quality-status:core	dip:0002(small scale)		-
DIP-29882N|refseq:NP_005083|uniprotkb:Q9UNG2	DIP-29883N|uniprotkb:Q9Y5U5	 -	-	-	-	MI:0107(surface plasmon resonance)|MI:0107(surface plasmon resonance)	-	pubmed:18040044|pubmed:DIP-4823S|pubmed:18378892|pubmed:DIP-4778S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-59381E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
